anomaly_id,name,desc,level,image,success_event_ids,source_file,localisation_source_file
crashed_ship_asteroid_category,Crashed Ship,A vessel of some kind has crashed into the surface of this asteroid. Wreckage from the craft can still be found within the impact crater.,3,GFX_evt_crashed_station,"anomaly.35, anomaly.65",00_anomaly_categories.txt,events_l_english.yml
origin_asteroid_category,Unknown Origin,"The material composition of this asteroid differs significantly from its neighbors. It likely has a different origin than the other bodies of this asteroid belt, and should be investigated more closely.",1,GFX_evt_mining_station,"anomaly.1, distar.225, anomaly.15",00_anomaly_categories.txt,events_l_english.yml
debris_asteroid_category,Covered in Debris,The surface of this asteroid is littered with metallic debris. Most of it appears to originate from starships of many different designs.,3,GFX_evt_mining_station,"anomaly.30, anomaly.6800",00_anomaly_categories.txt,events_l_english.yml
emissions_asteroid_category,Energy Emissions,Strong energy emissions of an unknown origin make this asteroid stand out from the rest of its peers in this crowded asteroid field.,1,GFX_evt_mining_station,"anomaly.60, anomaly.50",00_anomaly_categories.txt,events_l_english.yml
hatch_asteroid_category,Docking Hatch,"A small docking hatch leading to the interior of this asteroid is visible at the rim of a small crater on its surface. The hatch was likely concealed once, but it has since been exposed by micrometeorite impacts.",3,GFX_evt_mining_station,"anomaly.5, anomaly.25",00_anomaly_categories.txt,events_l_english.yml
collision_asteroid_category,Asteroid Collision,"This asteroid recently suffered an impact from another body within the asteroid belt, which resulted in a slightly changed orbit and a massive crater on the surface.",1,GFX_evt_mining_station,"anomaly.55, anomaly.6805",00_anomaly_categories.txt,events_l_english.yml
station_asteroid_category,Abandoned Station,A small space station of some kind has been built in a stable orbit around this asteroid. It appears deserted.,3,GFX_evt_mining_station,"anomaly.6810, anomaly.40",00_anomaly_categories.txt,events_l_english.yml
life_asteroid_category,Life Signs,We are picking up life signs coming from somewhere within the interior of this asteroid. This definitely warrants a closer investigation.,2,GFX_evt_microscopic_life,"anomaly.6825, anomaly.10",00_anomaly_categories.txt,events_l_english.yml
object_gasgiant_category,Atmospheric Object,Sensor echoes have indicated the presence of some kind of unidentified object deep within the atmosphere of this gas giant.,4,GFX_evt_gas_giant_station,"anomaly.325, anomaly.335",00_anomaly_categories.txt,events_l_english.yml
moon_gasgiant_category,Promising Moon,One of the small moonlets orbiting this gas giant has been identified as a promising mining site. A more thorough survey will have to be conducted to determine whether a mining operation would be feasible or not.,1,GFX_evt_ship_in_orbit_3,"anomaly.340, anomaly.6840",00_anomaly_categories.txt,events_l_english.yml
life_gasgiant_category,Life Signs,Life signs have been detected coming from inside the atmosphere of this gas giant. Could it indicate the presence of some kind of biosphere?,2,GFX_evt_atmospheric_flight,"anomaly.6845, anomaly.300",00_anomaly_categories.txt,events_l_english.yml
storms_gasgiant_category,Atmospheric Storms,Massive storms are visible in the upper atmosphere of this gas giant. It might be worth the effort to study them in more detail.,1,GFX_evt_atmospheric_flight,"anomaly.6855, anomaly.330",00_anomaly_categories.txt,events_l_english.yml
aerostat_gasgiant_category,Aerostat Structures,Some kind of unknown structures are floating in this gas giant's upper atmosphere. They appear to be using aerostatic lift to remain buoyant.,1,GFX_evt_gas_giant_station,"anomaly.310, anomaly.315",00_anomaly_categories.txt,events_l_english.yml
cargo_gasgiant_category,Cargo Pod,"A small cargo pod has been left to drift in space above this gas giant. It has been captured by the planet's gravity well, and will eventually be pulled into its atmosphere. ",1,GFX_evt_ship_in_orbit,"anomaly.6865, anomaly.305",00_anomaly_categories.txt,events_l_english.yml
debris_gasgiant_category,Space Debris,There is a significant amount of debris in orbit around this gas giant. Most of it appears to come from long lost starships of various configurations.,1,GFX_evt_ruined_system,"anomaly.320, distar.1055",00_anomaly_categories.txt,events_l_english.yml
impact_uninhabitable_category,Massive Impact,A colossal impact crater hints that something big collided with the surface of this [Root.GetPlanetMoon] once.,2,GFX_evt_nuclear_explosion,"anomaly.605, anomaly.600",00_anomaly_categories.txt,events_l_english.yml
energy_uninhabitable_category,Unusual Energy Readings,"We briefly detected some unusual energy readings emanating from this [Root.GetPlanetMoon]. It might have been a glitch in our systems, or it could be a sign of something more.",2,GFX_evt_ship_in_orbit_3,"anomaly.615, anomaly.655, anomaly.610, distar.1040",00_anomaly_categories.txt,events_l_english.yml
signal_uninhabitable_category,Weak Signal,"By chance, we stumbled upon a faint alien signal during the survey of this [Root.GetPlanetMoon]. The source appears to be a small object in orbit. The signal contains no message - could it be a distress transponder?",2,GFX_evt_ship_in_orbit_2,"anomaly.630, anomaly.625",00_anomaly_categories.txt,events_l_english.yml
asteroid_uninhabitable_category,Asteroid in Orbit,A class-12 asteroid orbits this [Root.GetPlanetMoon]. The small planetoid's orbit appears far too stable for its presence to be a natural occurrence.,1,GFX_evt_asteroid_approaching_planet,"anomaly.660, anomaly.6875",00_anomaly_categories.txt,events_l_english.yml
solar_uninhabitable_category,Solar Sailer,An abandoned ship has been left to drift aimlessly above this [Root.GetPlanetMoon]. The massive sails protruding from its hull suggest that it relied on solar power to function.,2,GFX_evt_ship_in_orbit,anomaly.650,00_anomaly_categories.txt,events_l_english.yml
life_toxic_category,Life Signs,"Despite the toxic content and high pressure of this [Root.GetPlanetMoon]'s atmosphere, strong life signs have been detected coming from its surface.",2,GFX_evt_microscopic_life,"anomaly.690, anomaly.6895",00_anomaly_categories.txt,events_l_english.yml
life_frozen_category,Life Signs,"At first glance this [Root.GetPlanetMoon] does not seem capable of supporting living beings, but nevertheless we have detected life signs emanating from somewhere beneath its frozen surface.",2,GFX_evt_microscopic_life,"anomaly.6900, anomaly.2510",00_anomaly_categories.txt,events_l_english.yml
life_barren_category,Life Signs,We have detected life signs coming from somewhere beneath the barren and lifeless surface of this [Root.GetPlanetMoon]. What manner of organism could possibly live there?,2,GFX_evt_microscopic_life,anomaly.695,00_anomaly_categories.txt,events_l_english.yml
